"HPTC__ID","HPTC__ParentID","HPTC__ShortName","HPTC__Taxonomy","HPTC__Status","HPTC__Level","HPTC__FullName","HPTC__Description","HPTC__Grouping","HPTC__Classification","HPTC__AdditionalInformation","HPTC__MedicareCode1"
"40","5","General Practice","208D00000X","Active","Level II Classification","General Practice","Definition to come...","Allopathic & Osteopathic Physicians","General Practice","",""
"225","5","Surgery","208600000X","Active","Level II Classification","Surgery","A general surgeon has expertise related to the diagnosis - preoperative, operative and postoperative management - and management of complications of surgical conditions in the following areas: alimentary tract; abdomen; breast, skin and soft tissue; endocrine system; head and neck surgery; pediatric surgery; surgical critical care; surgical oncology; trauma and burns; and vascular surgery. General surgeons increasingly provide care through the use of minimally invasive and endoscopic techniques. Many general surgeons also possess expertise in transplantation surgery, plastic surgery and cardiothoracic surgery.","Allopathic & Osteopathic Physicians","Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definition added, source added; 7/1/2011: modified source]  Additional Resources: American Board of Surgery, 2007.  http://www.absurgery.org/.   American Osteopathic Board of Surgery, 2007.  http://www.osteopathic.org/certification  Board certification for Medical Doctors (MDs) is provided by the American Board of Surgery.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Surgery.",""
"226","225","Hospice and Palliative Medicine","2086H0002X","Active","Level III Area of Specialization","Hospice and Palliative Medicine","A surgeon with special knowledge and skills to prevent and relieve the suffering experienced by patients with life-limiting illnesses. This specialist works with an interdisciplinary hospice or palliative care team to maximize quality of life while addressing physical, psychological, social and spiritual needs of both patient and family throughout the course of the disease, through the dying process, and beyond for the family.  This specialist has expertise in the assessment of patients with advanced disease; the relief of distressing symptoms; the coordination of interdisciplinary patient and family-centered care in diverse venues; the use of specialized care systems including hospice; the management of the imminently dying patient; and legal and ethical decision making in end-of-life care.","Allopathic & Osteopathic Physicians","Surgery","Source: American Academy of Hospice and Palliative Medicine, www.aahpm.org [1/1/2007: new]",""
"227","225","Pediatric Surgery","2086S0120X","Active","Level III Area of Specialization","Pediatric Surgery","A surgeon with expertise in the management of surgical conditions in premature and newborn infants, children and adolescents.","Allopathic & Osteopathic Physicians","Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definition added, source added]  Additional Resources: American Board of Surgery, 2007.  http://www.absurgery.org/.  Board certification for Medical Doctors (MDs) is provided by the American Board of Surgery.",""
"228","225","Plastic and Reconstructive Surgery","2086S0122X","Active","Level III Area of Specialization","Plastic and Reconstructive Surgery","A surgeon who specializes in plastic and reconstructive surgery.","Allopathic & Osteopathic Physicians","Surgery","Source: National Uniform Claim Committee, 2009 [1/1/2010: definition added, source added]  Additional Resources: A General Certificate is issued by the American Osteopathic Board of Surgery.",""
"229","225","Surgery of the Hand","2086S0105X","Active","Level III Area of Specialization","Surgery of the Hand","A surgeon with expertise in the investigation, preservation and restoration by medical, surgical and rehabilitative means, of all structures of the upper extremity directly affecting the form and function of the hand and wrist.","Allopathic & Osteopathic Physicians","Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definition added, source added]  Additional Resources: American Board of Surgery, 2007.  http://www.absurgery.org/.  Board certification for Medical Doctors (MDs) is provided by the American Board of Surgery.",""
"230","225","Surgical Critical Care","2086S0102X","Active","Level III Area of Specialization","Surgical Critical Care","A surgeon with expertise in the management of the critically ill and postoperative patient, particularly the trauma victim, who specializes in critical care medicine diagnoses, treats and supports patients with multiple organ dysfunction. This specialist may have administrative responsibilities for intensive care units and may also facilitate and coordinate patient care among the primary physician, the critical care staff and other specialists.","Allopathic & Osteopathic Physicians","Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definition added, source added; 7/1/2011: modified source]  Additional Resources: American Board of Surgery, 2007.  http://www.absurgery.org/.   American Osteopathic Board of Surgery, 2007.  http://www.osteopathic.org/certification  Board certification for Medical Doctors (MDs) is provided by the American Board of Surgery.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Surgery.",""
"231","225","Surgical Oncology","2086X0206X","Active","Level III Area of Specialization","Surgical Oncology","A surgical oncologist is a well-qualified surgeon who has obtained additional training and experience in the multidisciplinary approach to the prevention, diagnosis, treatment, and rehabilitation of cancer patients, and devotes a major portion of his or her professional practice to these activities and cancer research.","Allopathic & Osteopathic Physicians","Surgery","Source: Society of Surgical Oncology, 2007 [1/1/2008: definition added, source added, 7/1/2009: definiition reformatted]  Additional Resources: http://www.surgonc.org/ ; American Board of Medical Specialties, 2007, www.abms.org ; American Board of Surgery, 2007, http://www.absurgery.org/   Surgical oncology is a recognized fellowship subspecialty program of surgery. Separate board certification is not currently offered.",""
"232","225","Trauma Surgery","2086S0127X","Active","Level III Area of Specialization","Trauma Surgery","Trauma surgery is a recognized subspecialty of general surgery. Trauma surgeons are physicians who have completed a five-year general surgery residency and usually continue with a one to two year fellowship in trauma and/or surgical critical care, typically leading to additional board certification in surgical critical care. There is no trauma surgery board certification at this point. To obtain board certification in surgical critical care, a fellowship in surgical critical care or anesthesiology critical care must be completed during or after general surgery residency.","Allopathic & Osteopathic Physicians","Surgery","Source: American Board of Surgery, 2007  [1/1/2008: definition added, source added]  Additional Resources: http://www.absurgery.org/.",""
"233","225","Vascular Surgery","2086S0129X","Active","Level III Area of Specialization","Vascular Surgery","A surgeon with expertise in the management of surgical disorders of the blood vessels, excluding the intracranial vessels or the heart.","Allopathic & Osteopathic Physicians","Surgery","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: definition added, source added; 7/1/2011: modified source]  Additional Resources: American Board of Surgery, 2007.  http://www.absurgery.org/.   American Osteopathic Board of Surgery, 2007.  http://www.osteopathic.org/certification  Board certification for Medical Doctors (MDs) is provided by the American Board of Surgery.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Surgery.",""
